skill_a,skill_b,month,pair_postings,postings_a,postings_b,postings_that_month,confidence_a_to_b,lift
airflow,aws,2024-01-01,82,585,586,2880,0.14017094017094017,0.6888947230244159
airflow,azure,2024-01-01,82,585,586,2880,0.14017094017094017,0.6888947230244159
airflow,databricks,2024-01-01,78,585,400,2880,0.13333333333333333,0.96
airflow,dbt,2024-01-01,16,585,260,2880,0.02735042735042735,0.3029585798816568
airflow,docker,2024-01-01,81,585,570,2880,0.13846153846153847,0.6995951417004048
airflow,gcp,2024-01-01,82,585,581,2880,0.14017094017094017,0.6948232490401165
airflow,hadoop,2024-01-01,114,585,860,2880,0.19487179487179487,0.6525939177101968
airflow,hive,2024-01-01,82,585,586,2880,0.14017094017094017,0.6888947230244159
airflow,java,2024-01-01,51,585,329,2880,0.08717948717948718,0.7631517418751461
airflow,kafka,2024-01-01,82,585,586,2880,0.14017094017094017,0.6888947230244159
airflow,kubernetes,2024-01-01,75,585,476,2880,0.1282051282051282,0.7756948933419522
airflow,powerbi,2024-01-01,51,585,329,2880,0.08717948717948718,0.7631517418751461
airflow,python,2024-01-01,585,585,2880,2880,1.0,1.0
airflow,scala,2024-01-01,51,585,329,2880,0.08717948717948718,0.7631517418751461
airflow,snowflake,2024-01-01,63,585,520,2880,0.1076923076923077,0.5964497041420118
airflow,spark,2024-01-01,82,585,585,2880,0.14017094017094017,0.6900723208415516
airflow,sql,2024-01-01,82,585,585,2880,0.14017094017094017,0.6900723208415516
airflow,tableau,2024-01-01,51,585,329,2880,0.08717948717948718,0.7631517418751461
airflow,terraform,2024-01-01,76,585,499,2880,0.12991452991452992,0.7498073069215354
aws,airflow,2024-01-01,82,586,585,2880,0.13993174061433447,0.6888947230244159
aws,azure,2024-01-01,82,586,586,2880,0.13993174061433447,0.6877191347598691
aws,databricks,2024-01-01,55,586,400,2880,0.09385665529010238,0.6757679180887372
aws,dbt,2024-01-01,47,586,260,2880,0.08020477815699659,0.8884221580467314
aws,docker,2024-01-01,81,586,570,2880,0.13822525597269625,0.6984012933357284
aws,gcp,2024-01-01,82,586,581,2880,0.13993174061433447,0.6936375438369764
aws,hadoop,2024-01-01,102,586,860,2880,0.17406143344709898,0.5829034050321454
aws,hive,2024-01-01,82,586,586,2880,0.13993174061433447,0.6877191347598691
aws,java,2024-01-01,51,586,329,2880,0.08703071672354949,0.7618494351483968
aws,kafka,2024-01-01,82,586,586,2880,0.13993174061433447,0.6877191347598691
aws,kubernetes,2024-01-01,75,586,476,2880,0.12798634812286688,0.7743711819198669
aws,powerbi,2024-01-01,51,586,329,2880,0.08703071672354949,0.7618494351483968
aws,python,2024-01-01,586,586,2880,2880,1.0,1.0
aws,scala,2024-01-01,51,586,329,2880,0.08703071672354949,0.7618494351483968
aws,snowflake,2024-01-01,63,586,520,2880,0.1075085324232082,0.5954318718823838
aws,spark,2024-01-01,82,586,585,2880,0.13993174061433447,0.6888947230244159
aws,sql,2024-01-01,82,586,585,2880,0.13993174061433447,0.6888947230244159
aws,tableau,2024-01-01,51,586,329,2880,0.08703071672354949,0.7618494351483968
aws,terraform,2024-01-01,77,586,499,2880,0.13139931740614336,0.758376821903192
azure,airflow,2024-01-01,82,586,585,2880,0.13993174061433447,0.6888947230244159
azure,aws,2024-01-01,82,586,586,2880,0.13993174061433447,0.6877191347598691
azure,databricks,2024-01-01,47,586,400,2880,0.08020477815699659,0.5774744027303754
azure,dbt,2024-01-01,16,586,260,2880,0.027303754266211604,0.30244158571803625
azure,docker,2024-01-01,81,586,570,2880,0.13822525597269625,0.6984012933357284
azure,gcp,2024-01-01,82,586,581,2880,0.13993174061433447,0.6936375438369764
azure,hadoop,2024-01-01,316,586,860,2880,0.5392491467576792,1.8058576077466466
azure,hive,2024-01-01,82,586,586,2880,0.13993174061433447,0.6877191347598691
azure,java,2024-01-01,51,586,329,2880,0.08703071672354949,0.7618494351483968
azure,kafka,2024-01-01,82,586,586,2880,0.13993174061433447,0.6877191347598691
azure,kubernetes,2024-01-01,75,586,476,2880,0.12798634812286688,0.7743711819198669
azure,powerbi,2024-01-01,51,586,329,2880,0.08703071672354949,0.7618494351483968
azure,python,2024-01-01,586,586,2880,2880,1.0,1.0
azure,scala,2024-01-01,51,586,329,2880,0.08703071672354949,0.7618494351483968
azure,snowflake,2024-01-01,63,586,520,2880,0.1075085324232082,0.5954318718823838
azure,spark,2024-01-01,82,586,585,2880,0.13993174061433447,0.6888947230244159
azure,sql,2024-01-01,82,586,585,2880,0.13993174061433447,0.6888947230244159
azure,tableau,2024-01-01,51,586,329,2880,0.08703071672354949,0.7618494351483968
azure,terraform,2024-01-01,77,586,499,2880,0.13139931740614336,0.758376821903192
databricks,airflow,2024-01-01,78,400,585,2880,0.195,0.96
databricks,aws,2024-01-01,55,400,586,2880,0.1375,0.6757679180887372
databricks,azure,2024-01-01,47,400,586,2880,0.1175,0.5774744027303754
databricks,docker,2024-01-01,40,400,570,2880,0.1,0.5052631578947369
databricks,gcp,2024-01-01,40,400,581,2880,0.1,0.49569707401032703
databricks,hive,2024-01-01,152,400,586,2880,0.38,1.8675767918088737
databricks,java,2024-01-01,40,400,329,2880,0.1,0.8753799392097265
databricks,kafka,2024-01-01,280,400,586,2880,0.7,3.4402730375426622
databricks,kubernetes,2024-01-01,40,400,476,2880,0.1,0.6050420168067226
databricks,powerbi,2024-01-01,47,400,329,2880,0.1175,1.0285714285714285
databricks,python,2024-01-01,400,400,2880,2880,1.0,1.0
databricks,scala,2024-01-01,40,400,329,2880,0.1,0.8753799392097265
databricks,spark,2024-01-01,55,400,585,2880,0.1375,0.676923076923077
databricks,sql,2024-01-01,55,400,585,2880,0.1375,0.676923076923077
databricks,tableau,2024-01-01,55,400,329,2880,0.1375,1.203647416413374
databricks,terraform,2024-01-01,40,400,499,2880,0.1,0.5771543086172345
dbt,airflow,2024-01-01,16,260,585,2880,0.06153846153846154,0.3029585798816568
dbt,aws,2024-01-01,47,260,586,2880,0.18076923076923077,0.8884221580467314
dbt,azure,2024-01-01,16,260,586,2880,0.06153846153846154,0.30244158571803625
dbt,docker,2024-01-01,16,260,570,2880,0.06153846153846154,0.31093117408906884
dbt,gcp,2024-01-01,46,260,581,2880,0.17692307692307693,0.8770025155567325
dbt,hive,2024-01-01,16,260,586,2880,0.06153846153846154,0.30244158571803625
dbt,java,2024-01-01,16,260,329,2880,0.06153846153846154,0.5386953472059856
dbt,kafka,2024-01-01,47,260,586,2880,0.18076923076923077,0.8884221580467314
dbt,kubernetes,2024-01-01,46,260,476,2880,0.17692307692307693,1.070458952811894
dbt,powerbi,2024-01-01,46,260,329,2880,0.17692307692307693,1.5487491232172084
dbt,python,2024-01-01,260,260,2880,2880,1.0,1.0
dbt,scala,2024-01-01,46,260,329,2880,0.17692307692307693,1.5487491232172084
dbt,snowflake,2024-01-01,260,260,520,2880,1.0,5.538461538461538
dbt,spark,2024-01-01,50,260,585,2880,0.19230769230769232,0.9467455621301775
dbt,sql,2024-01-01,136,260,585,2880,0.5230769230769231,2.575147928994083
dbt,tableau,2024-01-01,16,260,329,2880,0.06153846153846154,0.5386953472059856
dbt,terraform,2024-01-01,16,260,499,2880,0.06153846153846154,0.35517188222599044
docker,airflow,2024-01-01,81,570,585,2880,0.14210526315789473,0.6995951417004048
docker,aws,2024-01-01,81,570,586,2880,0.14210526315789473,0.6984012933357284
docker,azure,2024-01-01,81,570,586,2880,0.14210526315789473,0.6984012933357284
docker,databricks,2024-01-01,40,570,400,2880,0.07017543859649122,0.5052631578947369
docker,dbt,2024-01-01,16,570,260,2880,0.028070175438596492,0.31093117408906884
docker,gcp,2024-01-01,81,570,581,2880,0.14210526315789473,0.7044116314883595
docker,hadoop,2024-01-01,324,570,860,2880,0.5684210526315789,1.9035495716034272
docker,hive,2024-01-01,81,570,586,2880,0.14210526315789473,0.6984012933357284
docker,java,2024-01-01,50,570,329,2880,0.08771929824561403,0.7678771396576548
docker,kafka,2024-01-01,81,570,586,2880,0.14210526315789473,0.6984012933357284
docker,kubernetes,2024-01-01,60,570,476,2880,0.10526315789473684,0.6368863334807607
docker,powerbi,2024-01-01,50,570,329,2880,0.08771929824561403,0.7678771396576548
docker,python,2024-01-01,570,570,2880,2880,1.0,1.0
