skill,month,postings_with_skill,postings_that_month,skill_share,rank_in_month
airflow,2024-01-01,585,2880,0.203125,7
aws,2024-01-01,586,2880,0.20347222222222222,3
azure,2024-01-01,586,2880,0.20347222222222222,4
databricks,2024-01-01,400,2880,0.1388888888888889,15
dbt,2024-01-01,260,2880,0.09027777777777778,20
docker,2024-01-01,570,2880,0.19791666666666666,11
gcp,2024-01-01,581,2880,0.20173611111111112,10
hadoop,2024-01-01,860,2880,0.2986111111111111,2
hive,2024-01-01,586,2880,0.20347222222222222,5
java,2024-01-01,329,2880,0.11423611111111111,16
kafka,2024-01-01,586,2880,0.20347222222222222,6
kubernetes,2024-01-01,476,2880,0.16527777777777777,14
powerbi,2024-01-01,329,2880,0.11423611111111111,17
python,2024-01-01,2880,2880,1.0,1
scala,2024-01-01,329,2880,0.11423611111111111,18
snowflake,2024-01-01,520,2880,0.18055555555555555,12
spark,2024-01-01,585,2880,0.203125,8
sql,2024-01-01,585,2880,0.203125,9
tableau,2024-01-01,329,2880,0.11423611111111111,19
terraform,2024-01-01,499,2880,0.17326388888888888,13
airflow,2024-02-01,585,2880,0.203125,8
aws,2024-02-01,472,2880,0.1638888888888889,13
azure,2024-02-01,434,2880,0.15069444444444444,14
databricks,2024-02-01,418,2880,0.1451388888888889,15
dbt,2024-02-01,271,2880,0.09409722222222222,20
docker,2024-02-01,330,2880,0.11458333333333333,17
gcp,2024-02-01,330,2880,0.11458333333333333,18
hadoop,2024-02-01,822,2880,0.28541666666666665,3
hive,2024-02-01,569,2880,0.19756944444444444,11
java,2024-02-01,586,2880,0.20347222222222222,4
kafka,2024-02-01,573,2880,0.19895833333333332,10
kubernetes,2024-02-01,330,2880,0.11458333333333333,19
powerbi,2024-02-01,586,2880,0.20347222222222222,5
python,2024-02-01,1553,2880,0.5392361111111111,2
scala,2024-02-01,586,2880,0.20347222222222222,6
snowflake,2024-02-01,542,2880,0.18819444444444444,12
spark,2024-02-01,585,2880,0.203125,9
sql,2024-02-01,1912,2880,0.6638888888888889,1
tableau,2024-02-01,586,2880,0.20347222222222222,7
terraform,2024-02-01,401,2880,0.13923611111111112,16
airflow,2024-03-01,367,2880,0.12743055555555555,16
aws,2024-03-01,331,2880,0.11493055555555555,17
azure,2024-03-01,477,2880,0.165625,14
databricks,2024-03-01,436,2880,0.15138888888888888,15
dbt,2024-03-01,282,2880,0.09791666666666667,20
docker,2024-03-01,585,2880,0.203125,4
gcp,2024-03-01,585,2880,0.203125,5
hadoop,2024-03-01,784,2880,0.2722222222222222,3
hive,2024-03-01,331,2880,0.11493055555555555,18
java,2024-03-01,584,2880,0.20277777777777778,8
kafka,2024-03-01,331,2880,0.11493055555555555,19
kubernetes,2024-03-01,585,2880,0.203125,6
powerbi,2024-03-01,584,2880,0.20277777777777778,9
python,2024-03-01,570,2880,0.19791666666666666,12
scala,2024-03-01,584,2880,0.20277777777777778,10
snowflake,2024-03-01,564,2880,0.19583333333333333,13
spark,2024-03-01,945,2880,0.328125,2
sql,2024-03-01,2501,2880,0.8684027777777777,1
tableau,2024-03-01,581,2880,0.20173611111111112,11
terraform,2024-03-01,585,2880,0.203125,7
airflow,2024-04-01,548,2880,0.19027777777777777,13
aws,2024-04-01,584,2880,0.20277777777777778,7
azure,2024-04-01,584,2880,0.20277777777777778,8
databricks,2024-04-01,454,2880,0.15763888888888888,16
dbt,2024-04-01,293,2880,0.10173611111111111,20
docker,2024-04-01,585,2880,0.203125,4
gcp,2024-04-01,585,2880,0.203125,5
hadoop,2024-04-01,746,2880,0.2590277777777778,2
hive,2024-04-01,584,2880,0.20277777777777778,9
java,2024-04-01,515,2880,0.17881944444444445,14
kafka,2024-04-01,584,2880,0.20277777777777778,10
kubernetes,2024-04-01,585,2880,0.203125,6
powerbi,2024-04-01,499,2880,0.17326388888888888,15
python,2024-04-01,330,2880,0.11458333333333333,18
scala,2024-04-01,571,2880,0.19826388888888888,12
snowflake,2024-04-01,586,2880,0.20347222222222222,3
spark,2024-04-01,2880,2880,1.0,1
sql,2024-04-01,330,2880,0.11458333333333333,19
tableau,2024-04-01,331,2880,0.11493055555555555,17
terraform,2024-04-01,574,2880,0.19930555555555557,11
airflow,2024-05-01,2625,2880,0.9114583333333334,1
aws,2024-05-01,582,2880,0.20208333333333334,10
azure,2024-05-01,571,2880,0.19826388888888888,11
databricks,2024-05-01,472,2880,0.1638888888888889,14
dbt,2024-05-01,304,2880,0.10555555555555556,20
docker,2024-05-01,465,2880,0.16145833333333334,15
gcp,2024-05-01,570,2880,0.19791666666666666,12
hadoop,2024-05-01,708,2880,0.24583333333333332,3
hive,2024-05-01,586,2880,0.20347222222222222,5
java,2024-05-01,329,2880,0.11423611111111111,18
kafka,2024-05-01,586,2880,0.20347222222222222,6
kubernetes,2024-05-01,473,2880,0.1642361111111111,13
powerbi,2024-05-01,370,2880,0.1284722222222222,16
python,2024-05-01,585,2880,0.203125,7
scala,2024-05-01,329,2880,0.11423611111111111,19
snowflake,2024-05-01,608,2880,0.2111111111111111,4
spark,2024-05-01,840,2880,0.2916666666666667,2
sql,2024-05-01,585,2880,0.203125,8
tableau,2024-05-01,584,2880,0.20277777777777778,9
terraform,2024-05-01,330,2880,0.11458333333333333,17
airflow,2024-06-01,1793,2880,0.6225694444444444,1
aws,2024-06-01,404,2880,0.14027777777777778,16
azure,2024-06-01,329,2880,0.11423611111111111,19
databricks,2024-06-01,490,2880,0.1701388888888889,13
dbt,2024-06-01,315,2880,0.109375,20
docker,2024-06-01,341,2880,0.11840277777777777,17
gcp,2024-06-01,330,2880,0.11458333333333333,18
hadoop,2024-06-01,670,2880,0.2326388888888889,3
hive,2024-06-01,457,2880,0.15868055555555555,14
java,2024-06-01,586,2880,0.20347222222222222,5
kafka,2024-06-01,1657,2880,0.5753472222222222,2
kubernetes,2024-06-01,442,2880,0.15347222222222223,15
powerbi,2024-06-01,586,2880,0.20347222222222222,6
python,2024-06-01,585,2880,0.203125,9
scala,2024-06-01,586,2880,0.20347222222222222,7
snowflake,2024-06-01,630,2880,0.21875,4
spark,2024-06-01,573,2880,0.19895833333333332,12
sql,2024-06-01,585,2880,0.203125,10
tableau,2024-06-01,586,2880,0.20347222222222222,8
terraform,2024-06-01,585,2880,0.203125,11
airflow,2024-07-01,330,2880,0.11458333333333333,19
aws,2024-07-01,511,2880,0.17743055555555556,15
azure,2024-07-01,586,2880,0.20347222222222222,5
databricks,2024-07-01,508,2880,0.1763888888888889,16
dbt,2024-07-01,326,2880,0.11319444444444444,20
docker,2024-07-01,585,2880,0.203125,6
gcp,2024-07-01,585,2880,0.203125,7
hadoop,2024-07-01,632,2880,0.21944444444444444,4
hive,2024-07-01,705,2880,0.24479166666666666,2
java,2024-07-01,581,2880,0.20173611111111112,11
kafka,2024-07-01,2521,2880,0.8753472222222223,1
kubernetes,2024-07-01,585,2880,0.203125,8
powerbi,2024-07-01,569,2880,0.19756944444444444,12
python,2024-07-01,528,2880,0.18333333333333332,14
scala,2024-07-01,584,2880,0.20277777777777778,10
snowflake,2024-07-01,652,2880,0.2263888888888889,3
spark,2024-07-01,337,2880,0.11701388888888889,18
sql,2024-07-01,492,2880,0.17083333333333334,17
tableau,2024-07-01,569,2880,0.19756944444444444,13
terraform,2024-07-01,585,2880,0.203125,9
airflow,2024-08-01,585,2880,0.203125,4
aws,2024-08-01,584,2880,0.20277777777777778,6
azure,2024-08-01,584,2880,0.20277777777777778,7
databricks,2024-08-01,526,2880,0.18263888888888888,13
dbt,2024-08-01,337,2880,0.11701388888888889,18
docker,2024-08-01,574,2880,0.19930555555555557,10
gcp,2024-08-01,585,2880,0.203125,5
hadoop,2024-08-01,594,2880,0.20625,3
hive,2024-08-01,2880,2880,1.0,1
java,2024-08-01,499,2880,0.17326388888888888,14
kafka,2024-08-01,584,2880,0.20277777777777778,8
kubernetes,2024-08-01,570,2880,0.19791666666666666,11
powerbi,2024-08-01,331,2880,0.11493055555555555,19
python,2024-08-01,342,2880,0.11875,17
scala,2024-08-01,470,2880,0.16319444444444445,15
snowflake,2024-08-01,674,2880,0.23402777777777778,2
spark,2024-08-01,578,2880,0.20069444444444445,9
sql,2024-08-01,360,2880,0.125,16
tableau,2024-08-01,331,2880,0.11493055555555555,20
terraform,2024-08-01,570,2880,0.19791666666666666,12
airflow,2024-09-01,585,2880,0.203125,4
aws,2024-09-01,2370,2880,0.8229166666666666,1
azure,2024-09-01,563,2880,0.1954861111111111,11
databricks,2024-09-01,544,2880,0.18888888888888888,13
dbt,2024-09-01,348,2880,0.12083333333333333,18
