skill,month,postings_with_skill,postings_that_month,share_pct,rank_in_month
python,2024-01-01,2880,2880,100.0,1
hadoop,2024-01-01,860,2880,29.86,2
aws,2024-01-01,586,2880,20.35,3
azure,2024-01-01,586,2880,20.35,4
hive,2024-01-01,586,2880,20.35,5
kafka,2024-01-01,586,2880,20.35,6
airflow,2024-01-01,585,2880,20.31,7
spark,2024-01-01,585,2880,20.31,8
sql,2024-01-01,585,2880,20.31,9
gcp,2024-01-01,581,2880,20.17,10
sql,2024-02-01,1912,2880,66.39,1
python,2024-02-01,1553,2880,53.92,2
hadoop,2024-02-01,822,2880,28.54,3
java,2024-02-01,586,2880,20.35,4
powerbi,2024-02-01,586,2880,20.35,5
scala,2024-02-01,586,2880,20.35,6
tableau,2024-02-01,586,2880,20.35,7
airflow,2024-02-01,585,2880,20.31,8
spark,2024-02-01,585,2880,20.31,9
kafka,2024-02-01,573,2880,19.9,10
sql,2024-03-01,2501,2880,86.84,1
spark,2024-03-01,945,2880,32.81,2
hadoop,2024-03-01,784,2880,27.22,3
docker,2024-03-01,585,2880,20.31,4
gcp,2024-03-01,585,2880,20.31,5
kubernetes,2024-03-01,585,2880,20.31,6
terraform,2024-03-01,585,2880,20.31,7
java,2024-03-01,584,2880,20.28,8
powerbi,2024-03-01,584,2880,20.28,9
scala,2024-03-01,584,2880,20.28,10
spark,2024-04-01,2880,2880,100.0,1
hadoop,2024-04-01,746,2880,25.9,2
snowflake,2024-04-01,586,2880,20.35,3
docker,2024-04-01,585,2880,20.31,4
gcp,2024-04-01,585,2880,20.31,5
kubernetes,2024-04-01,585,2880,20.31,6
aws,2024-04-01,584,2880,20.28,7
azure,2024-04-01,584,2880,20.28,8
hive,2024-04-01,584,2880,20.28,9
kafka,2024-04-01,584,2880,20.28,10
airflow,2024-05-01,2625,2880,91.15,1
spark,2024-05-01,840,2880,29.17,2
hadoop,2024-05-01,708,2880,24.58,3
snowflake,2024-05-01,608,2880,21.11,4
hive,2024-05-01,586,2880,20.35,5
kafka,2024-05-01,586,2880,20.35,6
python,2024-05-01,585,2880,20.31,7
sql,2024-05-01,585,2880,20.31,8
tableau,2024-05-01,584,2880,20.28,9
aws,2024-05-01,582,2880,20.21,10
airflow,2024-06-01,1793,2880,62.26,1
kafka,2024-06-01,1657,2880,57.53,2
hadoop,2024-06-01,670,2880,23.26,3
snowflake,2024-06-01,630,2880,21.88,4
java,2024-06-01,586,2880,20.35,5
powerbi,2024-06-01,586,2880,20.35,6
scala,2024-06-01,586,2880,20.35,7
tableau,2024-06-01,586,2880,20.35,8
python,2024-06-01,585,2880,20.31,9
sql,2024-06-01,585,2880,20.31,10
kafka,2024-07-01,2521,2880,87.53,1
hive,2024-07-01,705,2880,24.48,2
snowflake,2024-07-01,652,2880,22.64,3
hadoop,2024-07-01,632,2880,21.94,4
azure,2024-07-01,586,2880,20.35,5
docker,2024-07-01,585,2880,20.31,6
gcp,2024-07-01,585,2880,20.31,7
kubernetes,2024-07-01,585,2880,20.31,8
