skill,quarter,mentions,postings,share_pct,change_pp,growth_rank
airflow,2024-01-01,1537,8640,17.78935185185185,,1
aws,2024-01-01,1389,8640,16.07638888888889,,2
azure,2024-01-01,1497,8640,17.32638888888889,,3
databricks,2024-01-01,1254,8640,14.51388888888889,,4
dbt,2024-01-01,813,8640,9.409722222222221,,5
docker,2024-01-01,1485,8640,17.1875,,6
gcp,2024-01-01,1496,8640,17.314814814814813,,7
hadoop,2024-01-01,2466,8640,28.541666666666668,,8
hive,2024-01-01,1486,8640,17.199074074074073,,9
java,2024-01-01,1499,8640,17.349537037037038,,10
kafka,2024-01-01,1490,8640,17.24537037037037,,11
kubernetes,2024-01-01,1391,8640,16.099537037037038,,12
powerbi,2024-01-01,1499,8640,17.349537037037038,,13
python,2024-01-01,5003,8640,57.905092592592595,,14
scala,2024-01-01,1499,8640,17.349537037037038,,15
snowflake,2024-01-01,1626,8640,18.819444444444443,,16
spark,2024-01-01,2115,8640,24.479166666666668,,17
sql,2024-01-01,4998,8640,57.84722222222222,,18
tableau,2024-01-01,1496,8640,17.314814814814813,,19
terraform,2024-01-01,1485,8640,17.1875,,20
airflow,2024-04-01,4966,8640,57.476851851851855,39.6875,1
spark,2024-04-01,4293,8640,49.6875,25.208333333333332,2
kafka,2024-04-01,2827,8640,32.719907407407405,15.474537037037035,3
snowflake,2024-04-01,1824,8640,21.11111111111111,2.291666666666668,4
aws,2024-04-01,1570,8640,18.171296296296298,2.0949074074074083,5
databricks,2024-04-01,1416,8640,16.38888888888889,1.875,6
hive,2024-04-01,1627,8640,18.83101851851852,1.6319444444444464,7
kubernetes,2024-04-01,1500,8640,17.36111111111111,1.2615740740740726,8
dbt,2024-04-01,912,8640,10.555555555555555,1.145833333333334,9
tableau,2024-04-01,1501,8640,17.372685185185187,0.05787037037037379,10
terraform,2024-04-01,1489,8640,17.233796296296298,0.04629629629629761,11
gcp,2024-04-01,1485,8640,17.1875,-0.1273148148148131,12
azure,2024-04-01,1484,8640,17.175925925925927,-0.1504629629629619,13
scala,2024-04-01,1486,8640,17.199074074074073,-0.15046296296296546,14
powerbi,2024-04-01,1455,8640,16.84027777777778,-0.5092592592592595,15
java,2024-04-01,1430,8640,16.550925925925927,-0.7986111111111107,16
docker,2024-04-01,1391,8640,16.099537037037038,-1.087962962962962,17
hadoop,2024-04-01,2124,8640,24.583333333333332,-3.9583333333333357,18
sql,2024-04-01,1500,8640,17.36111111111111,-40.486111111111114,19
python,2024-04-01,1500,8640,17.36111111111111,-40.54398148148148,20
hive,2024-07-01,4666,8640,54.004629629629626,35.17361111111111,1
aws,2024-07-01,3465,8640,40.104166666666664,21.932870370370367,2
kafka,2024-07-01,3687,8640,42.673611111111114,9.95370370370371,3
azure,2024-07-01,1733,8640,20.05787037037037,2.881944444444443,4
docker,2024-07-01,1602,8640,18.541666666666668,2.4421296296296298,5
snowflake,2024-07-01,2022,8640,23.40277777777778,2.291666666666668,6
databricks,2024-07-01,1578,8640,18.26388888888889,1.875,7
gcp,2024-07-01,1627,8640,18.83101851851852,1.643518518518519,8
dbt,2024-07-01,1011,8640,11.70138888888889,1.145833333333334,9
java,2024-07-01,1484,8640,17.175925925925927,0.625,10
powerbi,2024-07-01,1484,8640,17.175925925925927,0.3356481481481488,11
terraform,2024-07-01,1485,8640,17.1875,-0.04629629629629761,12
kubernetes,2024-07-01,1485,8640,17.1875,-0.17361111111111072,13
tableau,2024-07-01,1484,8640,17.175925925925927,-0.19675925925925952,14
python,2024-07-01,1455,8640,16.84027777777778,-0.5208333333333321,15
sql,2024-07-01,1437,8640,16.631944444444443,-0.7291666666666679,16
scala,2024-07-01,1409,8640,16.30787037037037,-0.8912037037037024,17
hadoop,2024-07-01,1782,8640,20.625,-3.958333333333332,18
spark,2024-07-01,1500,8640,17.36111111111111,-32.326388888888886,19
airflow,2024-07-01,1500,8640,17.36111111111111,-40.11574074074075,20
azure,2024-10-01,4710,8640,54.513888888888886,34.45601851851852,1
gcp,2024-10-01,3979,8640,46.05324074074074,27.22222222222222,2
kubernetes,2024-10-01,1725,8640,19.96527777777778,2.7777777777777786,3
scala,2024-10-01,1636,8640,18.935185185185187,2.6273148148148167,4
snowflake,2024-10-01,2220,8640,25.694444444444443,2.2916666666666643,5
databricks,2024-10-01,1740,8640,20.13888888888889,1.875,6
terraform,2024-10-01,1624,8640,18.796296296296298,1.6087962962962976,7
dbt,2024-10-01,1110,8640,12.847222222222221,1.1458333333333321,8
sql,2024-10-01,1485,8640,17.1875,0.5555555555555571,9
docker,2024-10-01,1627,8640,18.83101851851852,0.2893518518518512,10
powerbi,2024-10-01,1489,8640,17.233796296296298,0.05787037037037024,11
java,2024-10-01,1486,8640,17.199074074074073,0.023148148148145253,12
python,2024-10-01,1455,8640,16.84027777777778,0.0,13
airflow,2024-10-01,1497,8640,17.32638888888889,-0.03472222222222143,14
spark,2024-10-01,1485,8640,17.1875,-0.17361111111111072,15
tableau,2024-10-01,1453,8640,16.81712962962963,-0.3587962962962976,16
hadoop,2024-10-01,1440,8640,16.666666666666668,-3.958333333333332,17
aws,2024-10-01,2977,8640,34.45601851851852,-5.648148148148145,18
kafka,2024-10-01,1402,8640,16.22685185185185,-26.446759259259263,19
hive,2024-10-01,1499,8640,17.349537037037038,-36.65509259259259,20
docker,2025-01-01,4773,8640,55.24305555555556,36.41203703703704,1
kubernetes,2025-01-01,4624,8640,53.51851851851852,33.55324074074074,2
java,2025-01-01,1724,8640,19.953703703703702,2.7546296296296298,3
tableau,2025-01-01,1653,8640,19.131944444444443,2.314814814814813,4
snowflake,2025-01-01,2418,8640,27.98611111111111,2.291666666666668,5
databricks,2025-01-01,1902,8640,22.01388888888889,1.875,6
powerbi,2025-01-01,1635,8640,18.92361111111111,1.689814814814813,7
dbt,2025-01-01,1209,8640,13.993055555555555,1.145833333333334,8
kafka,2025-01-01,1486,8640,17.199074074074073,0.9722222222222214,9
python,2025-01-01,1485,8640,17.1875,0.34722222222222143,10
sql,2025-01-01,1497,8640,17.32638888888889,0.13888888888888928,11
hive,2025-01-01,1490,8640,17.24537037037037,-0.10416666666666785,12
spark,2025-01-01,1469,8640,17.002314814814813,-0.1851851851851869,13
scala,2025-01-01,1582,8640,18.310185185185187,-0.625,14
