skill_a,skill_b,pair_postings,confidence_a_to_b,lift
airflow,snowflake,3020,0.243489,0.991867
airflow,hadoop,2438,0.196565,1.054205
airflow,python,2408,0.194147,0.797572
aws,snowflake,2883,0.234619,0.955733
aws,databricks,2691,0.218994,1.140512
aws,python,2415,0.196533,0.807376
azure,snowflake,2780,0.225814,0.919866
azure,hadoop,2709,0.220047,1.180141
azure,python,2410,0.19576,0.804199
databricks,scala,2735,0.274764,1.151011
databricks,docker,2705,0.27175,1.13811
databricks,aws,2691,0.270344,1.140512
dbt,snowflake,6363,1.0,4.07355
dbt,gcp,2156,0.338834,1.42251
dbt,scala,1898,0.298287,1.249551
docker,snowflake,2741,0.221441,0.902052
docker,databricks,2705,0.218533,1.13811
docker,spark,2413,0.194943,0.807433
gcp,snowflake,3709,0.300373,1.223583
gcp,spark,2400,0.194363,0.805034
gcp,sql,2390,0.193554,0.798235
hadoop,kafka,2837,0.293503,1.227923
hadoop,azure,2709,0.280261,1.180141
hadoop,sql,2682,0.277467,1.144305
hive,snowflake,3132,0.255548,1.040989
hive,spark,2371,0.193456,0.801276
hive,python,2362,0.192722,0.791719
java,snowflake,2250,0.231935,0.944798
java,python,2036,0.209875,0.862187
java,sql,2009,0.207092,0.854069
kafka,hadoop,2837,0.228957,1.227923
kafka,snowflake,2691,0.217174,0.884668
kafka,python,2417,0.195061,0.801328
kubernetes,snowflake,3031,0.248851,1.013705
kubernetes,sql,2377,0.195156,0.804844
kubernetes,kafka,2367,0.194335,0.813036
powerbi,snowflake,2204,0.242785,0.988996
powerbi,kafka,1769,0.194867,0.81526
powerbi,airflow,1768,0.194757,0.814011
python,snowflake,3045,0.241303,0.982959
python,hadoop,2447,0.193914,1.039985
python,sql,2423,0.192012,0.791878
scala,snowflake,3160,0.255354,1.040195
scala,databricks,2735,0.22101,1.151011
scala,python,2406,0.194424,0.798712
snowflake,dbt,6363,0.5,4.07355
snowflake,gcp,3709,0.291451,1.223583
snowflake,terraform,3615,0.284064,1.189874
spark,snowflake,2967,0.237057,0.965662
spark,hadoop,2675,0.213726,1.146242
spark,docker,2413,0.192793,0.807433
sql,snowflake,2749,0.218695,0.890866
sql,hadoop,2682,0.213365,1.144305
sql,python,2423,0.192761,0.791878
tableau,snowflake,2179,0.238795,0.972741
tableau,sql,1778,0.194849,0.803579
tableau,airflow,1774,0.194411,0.812567
terraform,snowflake,3615,0.292098,1.189874
terraform,databricks,2576,0.208145,1.084009
terraform,sql,2412,0.194893,0.803761
